Customer ID,Type,Offer,IMSI,SIM,MSISDN,BILL CYCLE,Used,User_ID
510245920,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478686,45,,
510245921,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478687,23,,
510245922,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478688,34,,
510245923,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478689,45,,
510245924,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478690,23,,
510245925,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478691,34,,
510245926,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478692,45,,
510245927,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478693,23,,
510245928,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478694,34,,
510245929,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478695,45,,
510245930,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478696,23,,
510245931,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478697,34,,
510245932,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478698,45,,
510245933,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478699,23,,
510245934,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478700,34,,
510245935,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478701,45,,
510245936,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478702,23,,
510245937,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478703,34,,
510245938,B2C,Red5_1,204041006379764,8931066892814831789,31625478704,45,,
510245939,B2C,Red5_1,204041006379764,8931066892814831789,31625478705,23,,
510245940,B2C,Red5_1,204041006379764,8931066892814831789,31625478706,34,,
510245941,B2C,Red5_1,204041006379764,8931066892814831789,31625478707,45,,
510245942,B2C,Red5_1,204041006379764,8931066892814831789,31625478708,23,,
510245943,B2C,Red_togethere,204041006379764,8931066892814831789,31625478709,34,,
510245944,B2C,Red_togethere,204041006379764,8931066892814831789,31625478710,45,,
510245945,B2C,Red_togethere,204041006379764,8931066892814831789,31625478711,23,,
510245946,B2C,Red_togethere,204041006379764,8931066892814831789,31625478712,34,,
510245947,B2C,Red_togethere,204041006379764,8931066892814831789,31625478713,45,,
510245948,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478714,23,,
510245949,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478715,34,,
510245950,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478716,45,,
510245951,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478717,23,,
510245952,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478718,34,,
510245953,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478719,45,,
510245954,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478720,23,,
510245955,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478721,34,,
510245956,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478722,45,,
510245957,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478723,23,,
510245958,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478724,34,,
510245959,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478725,45,,
510245960,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478726,23,,
510245961,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478727,34,,
510245962,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478728,45,,
510245963,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478729,23,,
510245964,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478730,34,,
510245965,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478731,45,,
510245966,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478732,23,,
510245967,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478733,34,,
510245968,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478734,45,,
510245969,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478735,23,,
510245970,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478736,34,,
510245971,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478737,45,,
510245972,B2C,Red 6_6 start L,204041006379764,8931066892814831789,31625478738,23,,
510245973,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478739,34,,
510245974,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478740,45,,
510245975,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478741,23,,
510245976,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478742,34,,
510245977,Prepaid,Red4_VF,204041006379764,8931066892814831789,31625478743,45,,
510245978,B2C,Red5_1,204041006379764,8931066892814831789,31625478744,23,,
510245979,B2C,Red5_1,204041006379764,8931066892814831789,31625478745,34,,
510245980,B2C,Red5_1,204041006379764,8931066892814831789,31625478746,45,,
510245981,B2C,Red5_1,204041006379764,8931066892814831789,31625478747,23,,
510245982,B2C,Red5_1,204041006379764,8931066892814831789,31625478748,34,,
510245983,B2C,Red_togethere,204041006379764,8931066892814831789,31625478749,45,,
510245984,B2C,Red_togethere,204041006379764,8931066892814831789,31625478750,23,,
510245985,B2C,Red_togethere,204041006379764,8931066892814831789,31625478751,34,,
510245986,B2C,Red_togethere,204041006379764,8931066892814831789,31625478752,45,,
510245987,B2C,Red_togethere,204041006379764,8931066892814831789,31625478753,23,,
510245988,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478754,34,,
510245989,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478755,45,,
510245990,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478756,23,,
510245991,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478757,34,,
510245992,SoHo,Biz_basic,204041006379764,8931066892814831789,31625478758,45,,
510245993,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478759,23,,
510245994,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478760,34,,
510245995,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478761,45,,
510245996,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478762,23,,
510245997,SoHo,Biz_red_pro,204041006379764,8931066892814831789,31625478763,34,,
510245998,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478764,45,,
510245999,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478765,23,,
510246000,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478766,34,,
510246001,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478767,45,,
510246002,SoHo,Biz_3_8_unlimited,204041006379764,8931066892814831789,31625478768,23,,
510246003,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478769,34,,
510246004,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478770,45,,
510246005,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478771,23,,
510246006,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478772,34,,
510246007,SoHo,Biz_3_4_connect,204041006379764,8931066892814831789,31625478773,45,,
